Site_Visit_ID,Travel_Time,Total_Observation_Time,Animal_Search_Time,Num_Observers_Searching,Animal_Search_Method,Snow_on_Ground,Percent_Snow_Cover,Snow_in_Tree_Canopy,Site_Visit_Comments
13155,,27 minutes,,,,0,,0,
10988,,49 minutes,,,,0,,0,
15626,,10 minutes,,,,0,,0,
13598,,20 minutes,,,,0,,0,
13056,,37 minutes,,,,0,,0,
15390,,34 minutes,,,,0,,0,
13676,,59 minutes,,,,0,,0,
10959,,32 minutes,,,,0,,0,
12946,,40 minutes,,,,0,,0,
11875,,39 minutes,,,,0,,0,
17014,,51 minutes,,,,0,,0,
19078,,44 minutes,,,,0,,0,
11925,,16 minutes,,,,0,,0,
18907,,25 minutes,,,,0,,0,
18442,,35 minutes,,,,0,,0,
10021,,57 minutes,,,,0,,0,
17179,,58 minutes,,,,0,,0,
13638,,11 minutes,,,,0,,0,
12356,,10 minutes,,,,0,,0,
17057,,57 minutes,,,,0,,0,
12920,,21 minutes,,,,0,,0,
18946,,14 minutes,,,,0,,0,
10352,,46 minutes,,,,0,,0,
10158,,41 minutes,,,,0,,0,
19579,,18 minutes,,,,0,,0,
11712,,50 minutes,,,,0,,0,
19465,,44 minutes,,,,0,,0,
19633,,28 minutes,,,,0,,0,
11394,,57 minutes,,,,0,,0,
15724,,25 minutes,,,,0,,0,
16276,,12 minutes,,,,0,,0,
16099,,29 minutes,,,,0,,0,
13568,,33 minutes,,,,0,,0,
10956,,42 minutes,,,,0,,0,
16262,,33 minutes,,,,0,,0,
19200,,20 minutes,,,,0,,0,
12289,,58 minutes,,,,0,,0,
17473,,17 minutes,,,,0,,0,
17351,,45 minutes,,,,0,,0,
17595,,47 minutes,,,,0,,0,
10891,,49 minutes,,,,0,,0,
19991,,29 minutes,,,,0,,0,
19710,,44 minutes,,,,0,,0,
10703,,57 minutes,,,,0,,0,
16924,,34 minutes,,,,0,,0,
17114,,44 minutes,,,,0,,0,
14114,,34 minutes,,,,0,,0,
19042,,38 minutes,,,,0,,0,
19816,,27 minutes,,,,0,,0,
12875,,55 minutes,,,,0,,0,
16059,,27 minutes,,,,0,,0,
19218,,11 minutes,,,,0,,0,
11177,,44 minutes,,,,0,,0,
19873,,25 minutes,,,,0,,0,
12137,,50 minutes,,,,0,,0,
13654,,45 minutes,,,,0,,0,
11798,,42 minutes,,,,0,,0,
17285,,13 minutes,,,,0,,0,
15752,,42 minutes,,,,0,,0,
11316,,23 minutes,,,,0,,0,
13273,,30 minutes,,,,0,,0,
19776,,57 minutes,,,,0,,0,
18853,,29 minutes,,,,0,,0,
10987,,17 minutes,,,,0,,0,
19160,,16 minutes,,,,0,,0,
12475,,12 minutes,,,,0,,0,
18258,,26 minutes,,,,0,,0,
15249,,42 minutes,,,,0,,0,
19424,,57 minutes,,,,0,,0,
14211,,21 minutes,,,,0,,0,
13374,,31 minutes,,,,0,,0,
12493,,31 minutes,,,,0,,0,
13083,,55 minutes,,,,0,,0,
11679,,39 minutes,,,,0,,0,
16770,,47 minutes,,,,0,,0,
18555,,47 minutes,,,,0,,0,
14037,,54 minutes,,,,0,,0,
14895,,17 minutes,,,,0,,0,
14406,,36 minutes,,,,0,,0,
18435,,36 minutes,,,,0,,0,
15548,,43 minutes,,,,0,,0,
17693,,30 minutes,,,,0,,0,
17002,,39 minutes,,,,0,,0,
11048,,42 minutes,,,,0,,0,
17137,,37 minutes,,,,0,,0,
17340,,56 minutes,,,,0,,0,
13036,,42 minutes,,,,0,,0,
16610,,14 minutes,,,,0,,0,
16488,,57 minutes,,,,0,,0,
17857,,28 minutes,,,,0,,0,
11549,,13 minutes,,,,0,,0,
13716,,44 minutes,,,,0,,0,
14837,,58 minutes,,,,0,,0,
16356,,26 minutes,,,,0,,0,
10671,,53 minutes,,,,0,,0,
18616,,37 minutes,,,,0,,0,
10775,,39 minutes,,,,0,,0,
18080,,38 minutes,,,,0,,0,
14940,,55 minutes,,,,0,,0,
13456,,15 minutes,,,,0,,0,
11668,,44 minutes,,,,0,,0,
19832,,50 minutes,,,,0,,0,
12196,,46 minutes,,,,0,,0,
10780,,33 minutes,,,,0,,0,
10521,,38 minutes,,,,0,,0,
14583,,58 minutes,,,,0,,0,
10685,,55 minutes,,,,0,,0,
19759,,40 minutes,,,,0,,0,
14875,,44 minutes,,,,0,,0,
18706,,42 minutes,,,,0,,0,
12460,,30 minutes,,,,0,,0,
17295,,41 minutes,,,,0,,0,
17353,,32 minutes,,,,0,,0,
16019,,42 minutes,,,,0,,0,
12520,,12 minutes,,,,0,,0,
19114,,27 minutes,,,,0,,0,
12649,,34 minutes,,,,0,,0,
17604,,51 minutes,,,,0,,0,
17902,,40 minutes,,,,0,,0,
10697,,12 minutes,,,,0,,0,
11929,,49 minutes,,,,0,,0,
17909,,55 minutes,,,,0,,0,
10541,,33 minutes,,,,0,,0,
18623,,59 minutes,,,,0,,0,
11169,,41 minutes,,,,0,,0,
11283,,56 minutes,,,,0,,0,
12125,,31 minutes,,,,0,,0,
18691,,32 minutes,,,,0,,0,
15068,,11 minutes,,,,0,,0,
12757,,36 minutes,,,,0,,0,
16900,,51 minutes,,,,0,,0,
16868,,11 minutes,,,,0,,0,
10162,,35 minutes,,,,0,,0,
19833,,26 minutes,,,,0,,0,
19032,,49 minutes,,,,0,,0,
12643,,42 minutes,,,,0,,0,
10689,,18 minutes,,,,0,,0,
17345,,52 minutes,,,,0,,0,
10597,,57 minutes,,,,0,,0,
12090,,48 minutes,,,,0,,0,
14624,,38 minutes,,,,0,,0,
13648,,51 minutes,,,,0,,0,
12105,,35 minutes,,,,0,,0,
12113,,44 minutes,,,,0,,0,
19259,,59 minutes,,,,0,,0,
16744,,34 minutes,,,,0,,0,
12551,,33 minutes,,,,0,,0,
17239,,22 minutes,,,,0,,0,
10258,,16 minutes,,,,0,,0,
16629,,45 minutes,,,,0,,0,
17167,,54 minutes,,,,0,,0,
10687,,29 minutes,,,,0,,0,
19973,,10 minutes,,,,0,,0,
17183,,17 minutes,,,,0,,0,
15108,,55 minutes,,,,0,,0,
19177,,25 minutes,,,,0,,0,
19890,,23 minutes,,,,0,,0,
11098,,21 minutes,,,,0,,0,
16980,,32 minutes,,,,0,,0,
16049,,24 minutes,,,,0,,0,
10155,,37 minutes,,,,0,,0,
15779,,43 minutes,,,,0,,0,
18831,,11 minutes,,,,0,,0,
16040,,41 minutes,,,,0,,0,
11531,,32 minutes,,,,0,,0,
11460,,31 minutes,,,,0,,0,
18259,,34 minutes,,,,0,,0,
15374,,31 minutes,,,,0,,0,
15154,,31 minutes,,,,0,,0,
19491,,58 minutes,,,,0,,0,
19250,,51 minutes,,,,0,,0,
10342,,15 minutes,,,,0,,0,
16317,,24 minutes,,,,0,,0,
16748,,52 minutes,,,,0,,0,
13740,,46 minutes,,,,0,,0,
10771,,42 minutes,,,,0,,0,
10193,,17 minutes,,,,0,,0,
19984,,53 minutes,,,,0,,0,
13736,,53 minutes,,,,0,,0,
18921,,14 minutes,,,,0,,0,
17616,,48 minutes,,,,0,,0,
18333,,13 minutes,,,,0,,0,
14492,,15 minutes,,,,0,,0,
16132,,54 minutes,,,,0,,0,
14615,,41 minutes,,,,0,,0,
15806,,39 minutes,,,,0,,0,
10989,,56 minutes,,,,0,,0,
11774,,44 minutes,,,,0,,0,
13808,,49 minutes,,,,0,,0,
11130,,25 minutes,,,,0,,0,
12120,,22 minutes,,,,0,,0,
11823,,59 minutes,,,,0,,0,
15160,,51 minutes,,,,0,,0,
11141,,39 minutes,,,,0,,0,
10006,,28 minutes,,,,0,,0,
15906,,26 minutes,,,,0,,0,
11829,,28 minutes,,,,0,,0,
11054,,37 minutes,,,,0,,0,
19591,,35 minutes,,,,0,,0,
19370,,46 minutes,,,,0,,0,
12309,,35 minutes,,,,0,,0,
14009,,32 minutes,,,,0,,0,
16313,,18 minutes,,,,0,,0,
10785,,21 minutes,,,,0,,0,
14154,,10 minutes,,,,0,,0,
17684,,10 minutes,,,,0,,0,
10882,,56 minutes,,,,0,,0,
17166,,43 minutes,,,,0,,0,
12454,,41 minutes,,,,0,,0,
13825,,57 minutes,,,,0,,0,
16142,,34 minutes,,,,0,,0,
11863,,49 minutes,,,,0,,0,
13935,,54 minutes,,,,0,,0,
19134,,10 minutes,,,,0,,0,
13420,,25 minutes,,,,0,,0,
13735,,48 minutes,,,,0,,0,
17537,,14 minutes,,,,0,,0,
11088,,31 minutes,,,,0,,0,
19959,,38 minutes,,,,0,,0,
18448,,12 minutes,,,,0,,0,
13175,,21 minutes,,,,0,,0,
17427,,35 minutes,,,,0,,0,
13426,,25 minutes,,,,0,,0,
12130,,46 minutes,,,,0,,0,
11589,,31 minutes,,,,0,,0,
19203,,38 minutes,,,,0,,0,
16846,,23 minutes,,,,0,,0,
19227,,37 minutes,,,,0,,0,
17016,,14 minutes,,,,0,,0,
11884,,56 minutes,,,,0,,0,
19009,,58 minutes,,,,0,,0,
18859,,39 minutes,,,,0,,0,
15793,,55 minutes,,,,0,,0,
19298,,14 minutes,,,,0,,0,
17094,,21 minutes,,,,0,,0,
19120,,25 minutes,,,,0,,0,
14888,,35 minutes,,,,0,,0,
11673,,35 minutes,,,,0,,0,
13748,,57 minutes,,,,0,,0,
18016,,30 minutes,,,,0,,0,
12158,,48 minutes,,,,0,,0,
18931,,45 minutes,,,,0,,0,
13227,,42 minutes,,,,0,,0,
15818,,39 minutes,,,,0,,0,
14063,,46 minutes,,,,0,,0,
12566,,32 minutes,,,,0,,0,
13718,,19 minutes,,,,0,,0,
14426,,14 minutes,,,,0,,0,
18835,,45 minutes,,,,0,,0,
13276,,43 minutes,,,,0,,0,
15223,,40 minutes,,,,0,,0,
12606,,19 minutes,,,,0,,0,
19968,,28 minutes,,,,0,,0,
12295,,41 minutes,,,,0,,0,
12783,,10 minutes,,,,0,,0,
12645,,14 minutes,,,,0,,0,
15637,,54 minutes,,,,0,,0,
16474,,13 minutes,,,,0,,0,
19797,,25 minutes,,,,0,,0,
19467,,33 minutes,,,,0,,0,
17160,,25 minutes,,,,0,,0,
17186,,11 minutes,,,,0,,0,
19475,,58 minutes,,,,0,,0,
11296,,37 minutes,,,,0,,0,
13008,,41 minutes,,,,0,,0,
13699,,36 minutes,,,,0,,0,
11913,,29 minutes,,,,0,,0,
12780,,33 minutes,,,,0,,0,
10660,,21 minutes,,,,0,,0,
16297,,59 minutes,,,,0,,0,
12179,,44 minutes,,,,0,,0,
14316,,42 minutes,,,,0,,0,
14570,,42 minutes,,,,0,,0,
13607,,52 minutes,,,,0,,0,
18120,,46 minutes,,,,0,,0,
10580,,21 minutes,,,,0,,0,
15445,,12 minutes,,,,0,,0,
16534,,10 minutes,,,,0,,0,
15141,,42 minutes,,,,0,,0,
18463,,49 minutes,,,,0,,0,
18712,,19 minutes,,,,0,,0,
12800,,52 minutes,,,,0,,0,
11104,,53 minutes,,,,0,,0,
13854,,38 minutes,,,,0,,0,
10406,,22 minutes,,,,0,,0,
13664,,21 minutes,,,,0,,0,
19523,,40 minutes,,,,0,,0,
10999,,55 minutes,,,,0,,0,
11481,,11 minutes,,,,0,,0,
13093,,59 minutes,,,,0,,0,
17951,,44 minutes,,,,0,,0,
14595,,32 minutes,,,,0,,0,
15131,,26 minutes,,,,0,,0,
10139,,35 minutes,,,,0,,0,
16043,,17 minutes,,,,0,,0,
10049,,38 minutes,,,,0,,0,
18345,,35 minutes,,,,0,,0,
11518,,19 minutes,,,,0,,0,
12195,,35 minutes,,,,0,,0,
12849,,43 minutes,,,,0,,0,
11306,,50 minutes,,,,0,,0,
14195,,16 minutes,,,,0,,0,
12642,,13 minutes,,,,0,,0,
18751,,59 minutes,,,,0,,0,
12461,,54 minutes,,,,0,,0,
19283,,20 minutes,,,,0,,0,
12093,,38 minutes,,,,0,,0,
14937,,45 minutes,,,,0,,0,
11364,,34 minutes,,,,0,,0,
18089,,30 minutes,,,,0,,0,
14017,,45 minutes,,,,0,,0,
11134,,19 minutes,,,,0,,0,
16136,,46 minutes,,,,0,,0,
14897,,18 minutes,,,,0,,0,
13901,,33 minutes,,,,0,,0,
11629,,44 minutes,,,,0,,0,
12068,,58 minutes,,,,0,,0,
10802,,44 minutes,,,,0,,0,
13606,,57 minutes,,,,0,,0,
12591,,45 minutes,,,,0,,0,
12854,,27 minutes,,,,0,,0,
12594,,58 minutes,,,,0,,0,
10086,,48 minutes,,,,0,,0,
12773,,41 minutes,,,,0,,0,
16815,,33 minutes,,,,0,,0,
13687,,32 minutes,,,,0,,0,
14757,,41 minutes,,,,0,,0,
19928,,46 minutes,,,,0,,0,
13630,,21 minutes,,,,0,,0,
15628,,58 minutes,,,,0,,0,
12242,,22 minutes,,,,0,,0,
15618,,32 minutes,,,,0,,0,
14188,,34 minutes,,,,0,,0,
14927,,44 minutes,,,,0,,0,
16160,,50 minutes,,,,0,,0,
10717,,39 minutes,,,,0,,0,
14994,,26 minutes,,,,0,,0,
18575,,58 minutes,,,,0,,0,
12565,,29 minutes,,,,0,,0,
13406,,57 minutes,,,,0,,0,
10531,,34 minutes,,,,0,,0,
10002,,31 minutes,,,,0,,0,
16239,,22 minutes,,,,0,,0,
10954,,28 minutes,,,,0,,0,
12561,,58 minutes,,,,0,,0,
17485,,45 minutes,,,,0,,0,
14334,,21 minutes,,,,0,,0,
16111,,50 minutes,,,,0,,0,
17957,,28 minutes,,,,0,,0,
14933,,21 minutes,,,,0,,0,
15710,,18 minutes,,,,0,,0,
12103,,16 minutes,,,,0,,0,
14172,,37 minutes,,,,0,,0,
11205,,23 minutes,,,,0,,0,
19867,,40 minutes,,,,0,,0,
16623,,28 minutes,,,,0,,0,
13839,,56 minutes,,,,0,,0,
10067,,25 minutes,,,,0,,0,
13521,,14 minutes,,,,0,,0,
12258,,44 minutes,,,,0,,0,
16838,,21 minutes,,,,0,,0,
14996,,34 minutes,,,,0,,0,
15232,,30 minutes,,,,0,,0,
15213,,45 minutes,,,,0,,0,
19136,,32 minutes,,,,0,,0,
17175,,25 minutes,,,,0,,0,
19133,,48 minutes,,,,0,,0,
17382,,54 minutes,,,,0,,0,
12259,,51 minutes,,,,0,,0,
17431,,48 minutes,,,,0,,0,
15750,,23 minutes,,,,0,,0,
11546,,40 minutes,,,,0,,0,
14145,,14 minutes,,,,0,,0,
16628,,44 minutes,,,,0,,0,
18775,,32 minutes,,,,0,,0,
16026,,38 minutes,,,,0,,0,
10861,,52 minutes,,,,0,,0,
19182,,20 minutes,,,,0,,0,
10776,,27 minutes,,,,0,,0,
15518,,56 minutes,,,,0,,0,
17692,,21 minutes,,,,0,,0,
17124,,18 minutes,,,,0,,0,
10446,,19 minutes,,,,0,,0,
16587,,53 minutes,,,,0,,0,
15558,,26 minutes,,,,0,,0,
12535,,47 minutes,,,,0,,0,
11252,,16 minutes,,,,0,,0,
11881,,55 minutes,,,,0,,0,
11574,,22 minutes,,,,0,,0,
12985,,49 minutes,,,,0,,0,
12979,,51 minutes,,,,0,,0,
15447,,18 minutes,,,,0,,0,
13343,,59 minutes,,,,0,,0,
10870,,36 minutes,,,,0,,0,
11647,,11 minutes,,,,0,,0,
12761,,14 minutes,,,,0,,0,
14512,,38 minutes,,,,0,,0,
13791,,46 minutes,,,,0,,0,
11504,,47 minutes,,,,0,,0,
18263,,28 minutes,,,,0,,0,
10307,,17 minutes,,,,0,,0,
16226,,57 minutes,,,,0,,0,
12863,,54 minutes,,,,0,,0,
14005,,10 minutes,,,,0,,0,
16615,,31 minutes,,,,0,,0,
11273,,26 minutes,,,,0,,0,
18002,,16 minutes,,,,0,,0,
13354,,34 minutes,,,,0,,0,
16305,,54 minutes,,,,0,,0,
17299,,13 minutes,,,,0,,0,
10128,,45 minutes,,,,0,,0,
13970,,15 minutes,,,,0,,0,
15552,,40 minutes,,,,0,,0,
12044,,28 minutes,,,,0,,0,
18383,,53 minutes,,,,0,,0,
13783,,48 minutes,,,,0,,0,
12052,,36 minutes,,,,0,,0,
14538,,19 minutes,,,,0,,0,
14500,,35 minutes,,,,0,,0,
16845,,28 minutes,,,,0,,0,
14591,,48 minutes,,,,0,,0,
16509,,12 minutes,,,,0,,0,
13580,,54 minutes,,,,0,,0,
19460,,22 minutes,,,,0,,0,
17984,,59 minutes,,,,0,,0,
18901,,37 minutes,,,,0,,0,
16928,,29 minutes,,,,0,,0,
17566,,37 minutes,,,,0,,0,
11003,,17 minutes,,,,0,,0,
14827,,50 minutes,,,,0,,0,
10757,,48 minutes,,,,0,,0,
19772,,10 minutes,,,,0,,0,
11001,,12 minutes,,,,0,,0,
15316,,22 minutes,,,,0,,0,
17549,,37 minutes,,,,0,,0,
18069,,58 minutes,,,,0,,0,
12806,,34 minutes,,,,0,,0,
10224,,42 minutes,,,,0,,0,
11106,,47 minutes,,,,0,,0,
12971,,15 minutes,,,,0,,0,
16782,,53 minutes,,,,0,,0,
17905,,54 minutes,,,,0,,0,
11620,,41 minutes,,,,0,,0,
13792,,54 minutes,,,,0,,0,
19169,,56 minutes,,,,0,,0,
18432,,30 minutes,,,,0,,0,
18378,,25 minutes,,,,0,,0,
17478,,30 minutes,,,,0,,0,
19379,,20 minutes,,,,0,,0,
19141,,46 minutes,,,,0,,0,
19021,,45 minutes,,,,0,,0,
10931,,44 minutes,,,,0,,0,
16382,,28 minutes,,,,0,,0,
11873,,29 minutes,,,,0,,0,
11859,,27 minutes,,,,0,,0,
15308,,56 minutes,,,,0,,0,
11907,,50 minutes,,,,0,,0,
18151,,58 minutes,,,,0,,0,
17469,,23 minutes,,,,0,,0,
15002,,24 minutes,,,,0,,0,
12077,,40 minutes,,,,0,,0,
19036,,10 minutes,,,,0,,0,
11260,,12 minutes,,,,0,,0,
15593,,25 minutes,,,,0,,0,
17240,,32 minutes,,,,0,,0,
13809,,20 minutes,,,,0,,0,
11409,,21 minutes,,,,0,,0,
12172,,19 minutes,,,,0,,0,
17825,,41 minutes,,,,0,,0,
14427,,25 minutes,,,,0,,0,
17940,,17 minutes,,,,0,,0,
10615,,47 minutes,,,,0,,0,
17454,,21 minutes,,,,0,,0,
14054,,33 minutes,,,,0,,0,
10325,,37 minutes,,,,0,,0,
14932,,17 minutes,,,,0,,0,
19462,,37 minutes,,,,0,,0,
14078,,45 minutes,,,,0,,0,
11986,,35 minutes,,,,0,,0,
19043,,17 minutes,,,,0,,0,
14039,,59 minutes,,,,0,,0,
13823,,37 minutes,,,,0,,0,
17244,,37 minutes,,,,0,,0,
16578,,46 minutes,,,,0,,0,
13346,,50 minutes,,,,0,,0,
18105,,45 minutes,,,,0,,0,
13957,,36 minutes,,,,0,,0,
17833,,26 minutes,,,,0,,0,
13892,,18 minutes,,,,0,,0,
18792,,42 minutes,,,,0,,0,
15867,,29 minutes,,,,0,,0,
19104,,22 minutes,,,,0,,0,
10919,,37 minutes,,,,0,,0,
15275,,57 minutes,,,,0,,0,
13622,,38 minutes,,,,0,,0,
15185,,22 minutes,,,,0,,0,
10692,,55 minutes,,,,0,,0,
16533,,44 minutes,,,,0,,0,
17933,,15 minutes,,,,0,,0,
19756,,27 minutes,,,,0,,0,
13956,,14 minutes,,,,0,,0,
15540,,56 minutes,,,,0,,0,
12181,,34 minutes,,,,0,,0,
19846,,11 minutes,,,,0,,0,
12395,,19 minutes,,,,0,,0,
12670,,39 minutes,,,,0,,0,
16663,,59 minutes,,,,0,,0,
19906,,54 minutes,,,,0,,0,
18022,,14 minutes,,,,0,,0,
13510,,42 minutes,,,,0,,0,
15428,,10 minutes,,,,0,,0,
14658,,27 minutes,,,,0,,0,
11312,,41 minutes,,,,0,,0,
15730,,56 minutes,,,,0,,0,
11366,,58 minutes,,,,0,,0,
12887,,20 minutes,,,,0,,0,
15014,,30 minutes,,,,0,,0,
13729,,35 minutes,,,,0,,0,
13159,,34 minutes,,,,0,,0,
12387,,31 minutes,,,,0,,0,
17966,,36 minutes,,,,0,,0,
16772,,58 minutes,,,,0,,0,
11985,,22 minutes,,,,0,,0,
10901,,42 minutes,,,,0,,0,
15622,,43 minutes,,,,0,,0,
16079,,50 minutes,,,,0,,0,
19856,,44 minutes,,,,0,,0,
15521,,10 minutes,,,,0,,0,
17813,,30 minutes,,,,0,,0,
10198,,57 minutes,,,,0,,0,
