Observation_ID,Dataset_ID,ObservedBy_Person_ID,Submission_ID,SubmittedBy_Person_ID,Submission_Datetime,UpdatedBy_Person_ID,Update_Datetime,Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,Lifecycle_Duration,Growth_Habit,USDA_PLANTS_Symbol,ITIS_Number,Individual_ID,Plant_Nickname,Patch,Protocol_ID,Phenophase_ID,Phenophase_Category,Phenophase_Description,Phenophase_Name,Phenophase_Definition_ID,Species-Specific_Info_ID,Observation_Date,Observation_Time,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,Site_Visit_ID,Observation_Comments,Observed_Status_Conflict_Flag,Status_Conflict_Related_Records
1000030,-9999,3919,34736,2802,2016-06-16 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7520,2016-06-16,12:00:00,168,0,-9999,-9999,-9999,15534,-9999,-9999,'-9999'
1000031,-9999,4369,46646,2787,2016-06-19 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7191,2016-06-19,12:00:00,171,0,-9999,-9999,-9999,18815,-9999,-9999,'-9999'
1000032,-9999,2016,46371,4643,2016-06-21 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5880,2016-06-21,12:00:00,173,0,-9999,-9999,-9999,12049,-9999,-9999,'-9999'
1000033,-9999,3944,35423,3301,2016-06-26 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5452,2016-06-26,12:00:00,178,0,-9999,-9999,-9999,13108,-9999,-9999,'-9999'
1000034,-9999,2183,58666,4062,2016-07-08 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7056,2016-07-08,12:00:00,190,0,-9999,-9999,-9999,17400,-9999,-9999,'-9999'
1000035,-9999,1397,55876,1815,2016-08-10 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6527,2016-08-10,12:00:00,223,1,58,"101 to 1,000",-9999,11218,-9999,-9999,'-9999'
1000036,-9999,1400,34735,4104,2016-08-11 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7735,2016-08-11,12:00:00,224,1,41,11 to 100,-9999,13446,-9999,-9999,'-9999'
1000037,-9999,2045,36893,2693,2016-09-27 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7085,2016-09-27,12:00:00,271,0,-9999,-9999,-9999,13436,-9999,-9999,'-9999'
1000038,-9999,1562,40677,2799,2016-09-29 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7074,2016-09-29,12:00:00,273,0,-9999,-9999,-9999,10225,-9999,-9999,'-9999'
1000039,-9999,4348,51277,4680,2016-10-07 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7331,2016-10-07,12:00:00,281,0,-9999,-9999,-9999,17022,-9999,-9999,'-9999'
1000040,-9999,1959,35600,1452,2016-10-11 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,5815,2016-10-11,12:00:00,285,1,41,"101 to 1,000",-9999,17679,-9999,-9999,'-9999'
1000041,-9999,1016,53723,2243,2016-10-26 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7205,2016-10-26,12:00:00,300,1,48,11 to 100,-9999,11060,-9999,-9999,'-9999'
1000042,-9999,1784,57751,4464,2017-05-17 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5245,2017-05-17,12:00:00,137,1,56,3 to 10,-9999,15801,-9999,-9999,'-9999'
1000043,-9999,3806,46921,2890,2017-05-20 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6841,2017-05-20,12:00:00,140,1,59,3 to 10,-9999,16971,-9999,-9999,'-9999'
1000044,-9999,2529,49334,4896,2017-05-23 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5035,2017-05-23,12:00:00,143,1,42,3 to 10,-9999,16655,-9999,-9999,'-9999'
1000045,-9999,1399,40893,1971,2017-05-30 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6906,2017-05-30,12:00:00,150,0,-9999,-9999,-9999,16614,-9999,-9999,'-9999'
1000046,-9999,2166,43403,4425,2017-06-01 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5833,2017-06-01,12:00:00,152,0,-9999,-9999,-9999,15919,-9999,-9999,'-9999'
1000047,-9999,3774,56558,1853,2017-06-04 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5050,2017-06-04,12:00:00,155,0,-9999,-9999,-9999,13769,-9999,-9999,'-9999'
1000048,-9999,1574,57837,2148,2017-06-05 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7197,2017-06-05,12:00:00,156,0,-9999,-9999,-9999,16457,-9999,-9999,'-9999'
1000049,-9999,3617,53893,3352,2017-06-10 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,6715,2017-06-10,12:00:00,161,0,-9999,-9999,-9999,14777,-9999,-9999,'-9999'
1000050,-9999,1837,50238,2077,2017-06-14 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7491,2017-06-14,12:00:00,165,0,-9999,-9999,-9999,13124,-9999,-9999,'-9999'
1000051,-9999,2595,33051,4691,2017-06-15 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5004,2017-06-15,12:00:00,166,0,-9999,-9999,-9999,15222,-9999,-9999,'-9999'
1000052,-9999,2219,51253,1876,2017-07-07 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,5991,2017-07-07,12:00:00,188,0,-9999,-9999,-9999,17027,-9999,-9999,'-9999'
1000053,-9999,4421,34142,3914,2017-07-24 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,501,Flowers,Open flowers,Open flowers,501,7870,2017-07-24,12:00:00,205,0,-9999,-9999,-9999,17079,-9999,-9999,'-9999'
1000054,-9999,1153,31679,4506,2017-07-19 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,5996,2017-07-19,12:00:00,200,1,50,3 to 10,-9999,19435,-9999,-9999,'-9999'
1000055,-9999,2092,41310,2008,2017-08-17 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7141,2017-08-17,12:00:00,229,1,42,3 to 10,-9999,16617,-9999,-9999,'-9999'
1000056,-9999,3479,52868,1550,2017-09-04 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6635,2017-09-04,12:00:00,247,0,-9999,-9999,-9999,17421,-9999,-9999,'-9999'
1000057,-9999,2757,34452,3070,2017-09-14 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6785,2017-09-14,12:00:00,257,0,-9999,-9999,-9999,16665,-9999,-9999,'-9999'
1000058,-9999,2781,32849,4251,2017-09-18 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,7809,2017-09-18,12:00:00,261,0,-9999,-9999,-9999,12489,-9999,-9999,'-9999'
1000059,-9999,2631,57392,2015,2017-09-19 00:00:00,-9999,-9999,-9999,SYN001,Synthetic Site 1,38.5,-122.3,150,CA,96,Vitis,vinifera,wine grape,Plantae,Deciduous broadleaf,Crop,Perennial,Shrub/Vine,VIVI5,28629,1001,plant-1001,-9999,233,390,Fruits,Ripe fruits,Ripe fruits,390,6348,2017-09-19,12:00:00,262,0,-9999,-9999,-9999,14611,-9999,-9999,'-9999'
